Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
2020,AI Scientist,0.58,1,3651922,DK,DK,1,50
2020,Data Engineer,0.58,1,4355794,PK,DE,3,100
2020,Computer Vision Engineer,4.55,3,4774170,RU,US,1,100
2020,Principal Data Scientist,4.55,1,11797054,DE,DE,2,100
2020,Data Scientist,2.07,1,3085387,ES,ES,2,100
2020,Data Scientist,2.07,1,9389201,US,US,2,100
2020,Data Scientist,4.55,1,9548340,US,US,3,50
2020,Data Scientist,2.07,1,11008440,US,US,2,100
2020,Data Engineer,2.07,1,8752645,US,US,3,100
2020,Data Engineer,2.07,1,10407691,ES,US,2,100
2020,Data Scientist,0.58,0,1724191,IT,IT,1,50
2020,Data Scientist,4.55,1,32782634,US,US,3,100
2020,Machine Learning Engineer,4.55,1,3629801,HR,HR,1,100
2020,Data Scientist,0.58,1,4991076,DE,DE,1,50
2020,Data Scientist,0.58,1,3920230,DE,DE,1,0
2020,Data Science Manager,4.55,1,15134119,US,US,2,100
2020,Data Scientist,0.58,1,8354798,US,US,1,100
2020,Data Scientist,4.55,1,7259682,AT,AT,1,0
2020,Data Scientist,2.07,1,4991076,FR,LU,1,50
2020,Data Scientist,2.07,1,3357594,FR,FR,1,50
2021,Research Scientist,0.58,1,6566712,GB,GB,3,50
2021,BI Data Analyst,8.11,1,11935425,IN,US,3,100
2021,Head of Data,8.11,1,18698833,US,US,3,100
2021,Data Scientist,4.55,1,4232461,FR,FR,3,50
2021,BI Data Analyst,2.07,1,7956950,US,US,2,100
2021,3D Computer Vision Researcher,2.07,0,430391,IN,IN,2,50
2021,ML Engineer,2.07,2,21483765,US,US,3,100
2021,Data Analyst,0.58,1,6365560,US,US,2,100
2021,Data Analytics Engineer,4.55,1,6301666,DE,DE,3,100
2021,Data Engineer,2.07,1,11139730,US,US,3,100
2021,Applied Data Scientist,2.07,1,4315691,GB,CA,3,50
2021,Machine Learning Engineer,2.07,1,3762205,ES,ES,1,100
2021,Director of Data Science,8.11,1,12227206,IT,PL,3,100
2021,Data Engineer,2.07,1,2265821,PL,PL,3,100
2021,Data Analyst,0.58,1,4702717,FR,FR,2,50
2021,Data Analytics Engineer,2.07,1,8752645,US,US,3,100
2021,Lead Data Analyst,4.55,1,13526815,US,US,3,100
2021,Data Analyst,4.55,1,6365560,BG,US,1,100
2021,Marketing Data Analyst,4.55,1,7054154,GR,DK,3,100
2021,Data Science Consultant,0.58,1,6113563,DE,DE,1,100
2021,Lead Data Analyst,2.07,1,1560278,IN,IN,3,100
2021,Lead Data Engineer,4.55,1,21961182,US,US,3,0
2021,Data Scientist,0.58,1,2367272,IN,IN,3,50
2021,Cloud Data Engineer,2.07,1,7105079,SG,SG,3,50
2021,AI Scientist,0.58,0,954834,BR,US,1,100
2021,Financial Data Analyst,2.07,1,35806275,US,US,3,100
2021,Computer Vision Software Engineer,0.58,1,5569865,US,US,2,100
2021,Computer Vision Software Engineer,2.07,1,7618461,DE,US,1,100
2021,Data Analyst,2.07,1,5967713,US,US,3,0
2021,Data Engineer,4.55,1,11935425,US,US,3,100
2021,BI Data Analyst,2.07,1,2885111,HU,US,3,50
2021,Data Analyst,2.07,1,4933309,US,US,3,0
2021,Data Scientist,2.07,1,5808574,US,US,3,0
2021,Data Analyst,2.07,1,4099341,GB,GB,3,50
2021,Research Scientist,2.07,1,14914666,CA,CA,3,100
2021,Data Engineer,4.55,1,9150493,US,US,1,100
2021,Data Engineer,4.55,1,11935425,US,US,2,100
2021,Data Engineer,0.58,1,2421141,IN,IN,3,100
2021,Machine Learning Engineer,4.55,1,7524410,DE,DE,3,50
2021,Director of Data Engineering,4.55,1,9029229,GB,GB,2,100
2021,Lead Data Engineer,4.55,1,8208390,GB,GB,1,100
2021,AI Scientist,0.58,0,954834,PK,US,2,100
2021,Data Engineer,2.07,1,3611739,NL,NL,3,100
2021,Machine Learning Scientist,0.58,1,17903138,US,US,3,100
2021,Data Scientist,2.07,1,3978475,NG,NG,3,100
2021,Data Science Engineer,2.07,1,3197819,GR,GR,2,100
2021,Data Analyst,0.58,1,7161255,US,US,1,100
2021,Data Engineer,2.07,1,15913900,US,US,3,100
2021,Big Data Engineer,2.07,1,4774170,ES,RO,2,50
2021,Principal Data Engineer,4.55,1,15913900,US,US,2,100
2021,Data Analyst,0.58,1,3978475,US,US,2,100
2021,Applied Data Scientist,0.58,1,8755589,GB,GB,3,0
2021,Data Analyst,0.58,0,823863,ES,ES,2,50
2021,Principal Data Scientist,2.07,1,12014995,US,US,3,100
2021,Machine Learning Scientist,4.55,1,9548340,US,US,1,50
2021,Data Scientist,2.07,1,753205,IN,IN,1,0
2021,Machine Learning Engineer,0.58,1,1591390,IN,IN,1,100
2021,Lead Data Scientist,4.55,1,3228135,IN,IN,3,50
2021,Machine Learning Developer,0.58,1,7956950,IQ,IQ,1,50
2021,Data Scientist,0.58,1,3950307,FR,FR,2,50
2021,Applied Machine Learning Scientist,2.07,1,3055469,VN,US,2,100
2021,Computer Vision Engineer,4.55,1,1909668,BR,BR,2,100
2021,Data Scientist,0.58,1,7956950,US,US,1,0
2021,Data Analyst,2.07,1,7161255,US,US,2,100
2021,ML Engineer,2.07,1,5069452,JP,JP,1,50
2021,ML Engineer,2.07,1,6155815,JP,JP,1,50
2021,Principal Data Scientist,4.55,1,17505290,US,US,3,0
2021,Data Scientist,0.58,1,6365560,US,US,2,100
2021,Data Analyst,2.07,1,10741883,US,US,3,100
2021,Data Science Manager,4.55,1,19096680,US,US,3,0
2021,Data Engineering Manager,4.55,1,11935425,US,US,3,0
2021,Data Scientist,2.07,1,6564484,US,US,1,100
2021,Data Engineer,2.07,1,7956950,US,US,3,100
2021,Machine Learning Engineer,4.55,1,6583899,BE,BE,2,50
2021,Research Scientist,2.07,1,4984950,FR,FR,2,50
2021,Data Engineer,2.07,1,7161255,US,US,3,100
2021,Data Engineering Manager,4.55,1,12174134,US,US,3,100
2021,Cloud Data Engineer,4.55,1,12731120,BR,US,1,100
2021,Director of Data Science,4.55,1,13367676,JP,JP,1,0
2021,Data Scientist,2.07,1,11935425,US,US,2,100
2021,Data Scientist,2.07,1,6029299,CA,CA,3,100
2021,Data Scientist,0.58,1,1066231,UA,UA,3,100
2021,Data Science Manager,4.55,1,11458008,US,US,3,100
2021,Data Science Engineer,4.55,1,10122911,CA,CA,3,50
2021,Data Scientist,2.07,1,9473465,SG,IL,2,100
2021,Applied Machine Learning Scientist,2.07,1,33657899,US,US,3,50
2021,Data Analytics Manager,4.55,1,9548340,US,US,2,100
2021,Machine Learning Engineer,0.58,1,9946188,US,US,1,100
2021,Head of Data,8.11,1,18300985,RU,RU,3,50
2021,Head of Data Science,8.11,1,6763408,RU,RU,2,0
2021,Data Engineer,2.07,1,2257307,MT,MT,3,50
2021,Data Science Consultant,0.58,1,5079001,DE,DE,3,50
2021,Director of Data Science,8.11,1,10346104,DE,DE,2,50
2021,Data Specialist,4.55,1,13128968,US,US,3,100
2021,Data Engineer,0.58,1,6365560,US,US,3,100
2021,Director of Data Science,8.11,1,19892375,US,US,3,0
2021,BI Data Analyst,0.58,1,4376323,US,US,1,50
2021,Data Architect,2.07,1,11935425,US,US,3,100
2021,Data Architect,2.07,1,13526815,US,US,3,100
2021,Data Engineer,2.07,1,6566712,GB,GB,3,100
2021,Data Analyst,0.58,1,4774170,US,US,1,100
2021,Principal Data Scientist,4.55,1,18698833,US,US,3,100
2021,Research Scientist,4.55,1,4834404,PT,PT,3,50
2021,Data Engineering Manager,4.55,1,13845093,US,US,3,100
2021,Data Scientist,2.07,1,227489,MX,MX,1,0
2021,Data Scientist,2.07,1,3185804,CL,CL,3,100
2021,Machine Learning Engineer,0.58,1,6445130,US,US,1,50
2021,Data Scientist,2.07,1,451875,IN,US,1,100
2021,Big Data Engineer,2.07,1,1799146,IN,IN,3,0
2021,Data Scientist,2.07,1,7219659,DE,DE,3,50
2021,Data Engineer,2.07,1,2069205,RO,US,3,0
2021,Finance Data Analyst,4.55,1,4925034,GB,GB,3,50
2021,Machine Learning Scientist,2.07,3,954834,PK,PK,2,50
2021,Data Engineer,2.07,1,318278,IR,IR,2,100
2021,Data Analytics Engineer,4.55,1,3978475,VN,GB,2,100
2021,Data Science Consultant,8.11,1,5549256,FR,ES,1,100
2021,Data Engineer,4.55,1,6113563,RO,GB,1,50
2021,Machine Learning Engineer,2.07,1,5888143,JP,JP,1,50
2021,Data Science Manager,4.55,1,12094564,US,FR,3,100
2021,Machine Learning Engineer,0.58,1,1738116,CO,CO,2,50
2021,Big Data Engineer,2.07,1,1432251,MD,MD,1,0
2021,Data Science Manager,4.55,1,13845093,US,US,3,100
2021,Research Scientist,4.55,1,7647663,CA,CA,3,50
2021,Data Scientist,2.07,1,11696717,US,US,3,50
2021,BI Data Analyst,0.58,1,737768,KE,KE,1,100
2021,Machine Learning Engineer,4.55,1,1936881,IN,IN,3,100
2021,Data Science Manager,4.55,1,4304233,IN,US,3,50
2021,Data Science Consultant,0.58,1,7161255,US,US,1,100
2021,Data Scientist,2.07,1,4890898,DE,AT,2,50
2021,Machine Learning Infrastructure Engineer,4.55,1,15516053,US,US,2,100
2021,Data Scientist,2.07,1,3009716,ES,ES,3,100
2021,Research Scientist,4.55,1,3978475,FR,US,1,100
2021,Data Scientist,2.07,1,12731120,US,US,3,100
2021,Data Scientist,2.07,1,1026526,BR,BR,1,0
2021,Machine Learning Engineer,4.55,1,15913900,US,US,3,100
2021,Data Engineer,4.55,1,13128968,US,US,2,0
2021,Data Engineer,2.07,3,1591390,IT,US,3,0
2021,Data Analytics Manager,4.55,1,9548340,US,US,3,0
2021,Machine Learning Engineer,2.07,1,1975154,SI,SI,3,50
2021,Research Scientist,2.07,1,4514614,FR,FR,1,50
2021,Data Engineer,2.07,1,5253338,HK,GB,1,50
2021,Big Data Engineer,0.58,1,468028,IN,CH,3,0
2021,Machine Learning Engineer,0.58,1,1975154,DE,DE,2,50
2021,Principal Data Engineer,4.55,1,14720358,US,US,3,100
2021,Computer Vision Engineer,0.58,0,2276404,DK,DK,1,50
2021,Data Scientist,2.07,1,7219659,DE,DE,3,50
2021,Machine Learning Engineer,2.07,1,7054154,BE,BE,2,100
2021,Data Analytics Manager,4.55,1,11139730,US,US,3,100
2021,Machine Learning Engineer,2.07,1,3707700,PL,PL,3,100
2021,Data Scientist,2.07,1,9302789,GB,GB,3,50
2021,Data Scientist,2.07,1,2690086,IN,IN,2,0
2021,Data Scientist,2.07,1,4476262,GB,GB,3,50
2021,Machine Learning Scientist,4.55,1,17903138,US,CA,3,100
2021,Principal Data Scientist,8.11,2,33100912,US,US,1,100
2021,Data Scientist,4.55,1,6981269,CA,CA,1,100
2021,Data Scientist,2.07,1,7054154,DE,DE,3,50
2021,Data Scientist,4.55,1,10741883,US,US,3,0
2021,Data Analyst,4.55,1,5711976,CA,CA,2,100
2021,Big Data Engineer,0.58,1,1291254,IN,IN,3,100
2021,ML Engineer,4.55,1,20369792,US,US,1,100
2021,Director of Data Engineering,4.55,1,15913900,US,US,3,100
2021,Data Analyst,4.55,1,15913900,US,US,3,100
2021,Data Architect,2.07,1,14322510,US,US,3,100
2021,Head of Data Science,2.07,1,8752645,US,US,1,0
2021,Research Scientist,2.07,1,5077330,CA,CA,2,100
2021,Data Scientist,2.07,1,3724569,ES,ES,2,100
2021,Data Scientist,0.58,1,318278,VN,VN,2,0
2021,Data Engineer,0.58,1,1721645,IN,IN,2,50
2021,Data Scientist,4.55,1,8250641,CA,CA,3,100
2021,Data Analyst,2.07,1,6365560,US,US,3,100
2021,Data Engineer,2.07,1,8752645,US,US,3,100
2021,Data Scientist,4.55,1,13128968,US,US,3,100
2021,AI Scientist,0.58,1,1436468,IN,AS,1,100
2021,Data Engineer,2.07,1,5745873,GB,GB,3,50
2021,Data Scientist,0.58,1,2915665,FR,FR,3,50
2021,Data Engineer,2.07,1,963030,TR,TR,2,0
2021,Data Engineer,4.55,1,7661111,GB,GB,3,50
2021,Principal Data Analyst,4.55,1,13526815,US,US,2,100
2021,Data Scientist,2.07,1,9150493,US,US,3,50
2021,Data Scientist,0.58,1,7161255,US,US,1,100
2021,Principal Data Engineer,8.11,1,47741700,US,US,3,100
2021,Data Scientist,0.58,1,2259694,IN,IN,2,100
2021,Data Analyst,2.07,1,7399964,US,US,3,100
2021,Big Data Architect,4.55,1,7933318,CA,CA,2,50
2021,Data Engineer,2.07,1,15913900,US,US,3,100
2021,Principal Data Scientist,4.55,1,13826155,DE,DE,2,100
2021,Machine Learning Engineer,4.55,1,14720358,US,US,3,50
2021,Director of Data Science,8.11,1,11286615,DE,DE,3,0
2021,Data Scientist,2.07,1,10344035,US,US,3,50
2021,Data Analyst,4.55,1,5079001,DE,DE,3,50
2021,Data Scientist,2.07,1,1345043,IN,IN,1,100
2021,Machine Learning Engineer,4.55,1,5272673,IN,IN,3,0
2021,Data Scientist,2.07,1,2031568,RS,DE,1,100
2021,Lead Data Engineer,4.55,1,12731120,PR,US,1,50
2021,Data Engineer,2.07,1,7411899,US,US,2,0
2021,Data Engineer,2.07,1,8893881,US,US,2,0
2021,Data Engineer,2.07,1,2229219,TR,TR,2,100
2021,Data Engineer,0.58,1,5173052,DE,DE,2,50
2021,Data Engineer,0.58,1,5768789,US,US,3,100
2021,Computer Vision Engineer,4.55,1,1504421,BR,BR,2,0
2021,Data Science Consultant,0.58,1,6113563,DE,DE,3,0
2021,Machine Learning Engineer,0.58,1,6763408,NL,DE,1,100
2021,Data Scientist,4.55,1,6181277,FR,FR,2,50
2021,Data Scientist,0.58,1,7956950,US,US,2,100
2021,Data Scientist,0.58,1,4615031,US,US,3,50
2021,AI Scientist,4.55,1,4376323,ES,ES,3,100
2021,Data Scientist,4.55,1,1604996,TR,TR,3,50
2021,Business Data Analyst,0.58,1,4702717,LU,LU,3,100
2021,Data Engineer,2.07,1,8911784,US,US,3,100
2021,Research Scientist,0.58,1,7956950,JE,CN,3,0
2021,Data Engineer,2.07,0,5549256,NL,NL,3,100
2021,Staff Data Scientist,4.55,2,8354798,US,US,2,100
2021,Research Scientist,2.07,1,5569785,CZ,CZ,3,50
2021,Data Science Manager,4.55,1,7532447,IN,IN,3,50
2021,Head of Data,4.55,1,8182848,SI,SI,3,100
2021,Data Scientist,2.07,1,8673076,US,US,3,50
2021,Machine Learning Engineer,2.07,1,4063137,IT,IT,3,50
2022,Data Engineer,4.55,1,10741883,US,US,2,100
2022,Data Analyst,4.55,1,12333273,US,US,2,100
2022,Data Analyst,4.55,1,9596082,US,US,2,100
2022,Data Scientist,2.07,1,10344035,US,US,2,0
2022,Data Scientist,2.07,1,7161255,US,US,2,0
2022,Data Engineer,2.07,1,13526815,US,US,2,100
2022,Data Engineer,2.07,1,11935425,US,US,2,100
2022,Data Analyst,4.55,1,8124046,US,US,2,100
2022,Data Analyst,4.55,1,6755451,US,US,2,100
2022,Data Scientist,4.55,1,10870785,US,US,2,100
2022,Data Scientist,4.55,1,7906026,US,US,2,100
2022,Data Scientist,4.55,1,9372412,GB,GB,2,0
2022,Data Scientist,4.55,1,8331086,GB,GB,2,0
2022,Data Scientist,4.55,1,11617147,US,US,2,100
2022,Data Scientist,4.55,1,9787049,US,US,2,100
2022,Data Engineer,0.58,1,4165543,GB,GB,2,100
2022,Data Analyst,4.55,1,7877381,US,US,2,0
2022,Data Analyst,4.55,1,9230062,US,US,2,0
2022,Data Analyst,2.07,1,8455055,US,US,2,0
2022,Data Analyst,2.07,1,10065542,US,US,2,0
2022,Data Engineer,8.11,1,19255819,US,US,2,100
2022,Data Engineer,8.11,1,15913900,US,US,2,100
2022,Data Scientist,2.07,1,5206869,GB,GB,2,0
2022,Data Scientist,2.07,1,3124137,GB,GB,2,0
2022,Data Engineer,2.07,1,6248275,GB,GB,2,0
2022,Data Engineer,2.07,1,4165543,GB,GB,2,0
2022,Data Scientist,4.55,1,13146473,US,US,2,100
2022,Data Engineer,0.58,1,3644840,GB,GB,2,100
2022,Data Scientist,4.55,1,9561071,US,US,2,100
2022,Data Analyst,4.55,1,7186717,US,US,2,100
2022,Data Engineer,4.55,1,14476875,US,US,2,0
2022,Data Engineer,4.55,1,10528636,US,US,2,0
2022,Data Engineer,4.55,1,17514043,US,US,2,0
2022,Data Engineer,4.55,1,12737486,US,US,2,0
2022,Data Scientist,4.55,1,14322510,US,US,3,0
2022,Data Scientist,4.55,1,9548340,US,US,3,0
2022,Data Analyst,4.55,1,9881736,US,US,2,100
2022,Data Analyst,8.11,1,10344035,US,US,2,100
2022,Data Analyst,8.11,1,8752645,US,US,2,100
2022,Data Analyst,4.55,1,13526815,US,US,2,100
2022,Data Analyst,2.07,1,9190277,US,US,2,100
2022,Data Analyst,4.55,1,8983397,US,US,2,100
2022,Data Analyst,4.55,1,7186717,US,US,2,100
2022,Data Analyst,4.55,1,8983397,US,US,2,100
2022,Data Analyst,4.55,1,7186717,US,US,2,100
2022,Data Engineer,4.55,1,13160795,US,US,2,100
2022,Data Engineer,4.55,1,10528636,US,US,2,100
2022,Data Analyst,2.07,1,13288107,US,US,2,100
2022,Data Engineer,4.55,1,19407001,US,US,2,100
2022,Data Analyst,4.55,1,10869194,US,US,2,100
2022,Data Analyst,4.55,1,8695355,US,US,2,100
2022,Data Engineer,4.55,1,10254519,US,US,2,100
2022,Data Engineer,4.55,1,7455662,US,US,2,100
2022,Head of Data Science,8.11,1,17823568,US,US,2,100
2022,Head of Data Science,8.11,1,13357730,US,US,2,100
2022,Analytics Engineer,8.11,1,13924663,US,US,2,100
2022,Data Engineer,4.55,1,12460584,US,US,2,100
2022,Data Engineer,4.55,1,8657162,US,US,2,0
2022,Data Scientist,4.55,1,7602866,US,US,2,0
2022,Data Engineer,4.55,1,8991354,US,US,3,0
2022,Data Analyst,4.55,1,10741883,US,US,2,100
2022,Data Science Manager,4.55,1,12837902,US,US,2,100
2022,Data Science Manager,4.55,1,10912241,US,US,2,100
2022,Data Scientist,4.55,1,13288107,US,US,2,100
2022,Data Scientist,4.55,1,9787049,US,US,2,100
2022,Data Engineer,4.55,1,6248275,GB,GB,2,0
2022,Data Engineer,4.55,1,5206869,GB,GB,2,0
2022,Data Scientist,4.55,1,11935425,US,US,2,0
2022,Data Scientist,4.55,1,16828949,US,US,2,100
2022,Data Architect,4.55,1,15309172,CA,CA,2,100
2022,Data Architect,4.55,1,7216954,CA,CA,2,100
2022,Data Analyst,4.55,1,10344035,CA,CA,2,100
2022,Data Analyst,4.55,1,4877610,CA,CA,2,100
2022,Data Analyst,4.55,1,10344035,CA,CA,2,100
2022,Data Analyst,4.55,1,4877610,CA,CA,2,100
2022,Data Engineer,4.55,1,12731120,US,US,3,0
2022,Data Scientist,4.55,1,11028333,US,US,2,100
2022,Data Engineer,4.55,1,10821452,US,US,2,0
2022,Data Analyst,2.07,1,4615031,US,US,1,0
2022,Analytics Engineer,8.11,1,10741883,US,US,2,100
2022,Data Scientist,4.55,1,13526815,US,US,2,100
2022,Data Scientist,4.55,1,9787049,US,US,2,100
2022,Machine Learning Engineer,4.55,1,15090356,US,US,2,0
2022,Machine Learning Engineer,4.55,1,13128649,US,US,2,0
2022,ETL Developer,2.07,1,4372901,GR,GR,2,0
2022,ETL Developer,2.07,1,4372901,GR,GR,2,0
2022,Lead Data Engineer,8.11,1,9404080,CA,CA,1,100
2022,Data Analyst,4.55,1,10503174,US,US,2,0
2022,Data Engineer,4.55,1,13160795,US,US,2,100
2022,Data Architect,4.55,1,16612122,US,US,2,100
2022,Data Architect,4.55,1,11760372,US,US,2,100
2022,Data Engineer,4.55,1,10900544,US,US,2,100
2022,Data Engineer,4.55,1,8081874,US,US,2,100
2022,Data Analyst,4.55,1,10254519,US,US,2,100
2022,Data Analyst,4.55,1,7455662,US,US,2,100
2022,Head of Machine Learning,8.11,1,6289094,IN,IN,3,50
2022,Data Engineer,4.55,1,10528636,US,US,2,100
2022,Machine Learning Engineer,0.58,1,2967942,GB,GB,3,100
2022,Data Analyst,4.55,1,13049398,US,US,2,0
2022,Data Engineer,4.55,1,12333273,US,US,2,100
2022,Machine Learning Engineer,2.07,1,9893115,GB,GB,2,0
2022,Machine Learning Engineer,2.07,1,7810383,GB,GB,2,0
2022,AI Scientist,2.07,1,9548340,US,US,2,0
2022,Data Analyst,4.55,1,8983397,US,US,2,100
2022,Data Analyst,4.55,1,7186717,US,US,2,100
2022,Data Analytics Manager,4.55,1,11537578,US,US,2,100
2022,Data Analytics Manager,4.55,1,8386625,US,US,2,100
2022,Machine Learning Engineer,2.07,1,6996705,FR,DE,2,100
2022,Data Engineer,2.07,1,9372412,GB,GB,2,0
2022,Data Scientist,4.55,1,17131313,US,US,3,100
2022,Data Scientist,4.55,1,12587895,US,US,3,100
2022,Data Engineer,4.55,1,16637982,US,US,3,100
2022,Data Engineer,4.55,1,12301445,US,US,3,100
2022,Data Analyst,4.55,1,9224810,US,US,2,0
2022,Data Analyst,4.55,1,6498123,US,US,2,0
2022,Data Engineer,4.55,1,13924663,US,US,2,100
2022,Data Engineer,2.07,1,7810383,GB,GB,2,0
2022,Data Analyst,2.07,1,4615031,US,US,1,0
2022,Data Engineer,4.55,1,14608960,US,US,3,100
2022,Data Analyst,2.07,1,4165543,GB,GB,2,100
2022,Data Scientist,4.55,1,14322510,US,US,2,100
2022,Data Scientist,2.07,1,5727572,GB,GB,2,0
2022,Data Scientist,2.07,1,3644840,GB,GB,2,0
2022,Data Engineer,2.07,1,5247529,GR,GR,2,100
2022,Data Engineer,2.07,1,3935587,GR,GR,2,100
2022,Data Engineer,2.07,1,6248275,GB,GB,2,100
2022,Data Engineer,2.07,1,4686166,GB,GB,2,100
2022,Data Scientist,4.55,1,20688070,US,US,2,100
2022,Data Science Engineer,4.55,1,4774170,AR,MX,3,100
2022,Data Engineer,2.07,1,5084491,US,US,2,0
2022,Machine Learning Scientist,2.07,1,12731120,US,US,3,100
2022,Machine Learning Scientist,2.07,1,8935655,US,US,3,100
2022,Data Science Manager,2.07,1,19176250,US,US,2,100
2022,Data Science Manager,2.07,1,12651551,US,US,2,100
2022,Data Scientist,4.55,1,14322510,US,US,2,0
2022,Data Scientist,4.55,1,6365560,US,US,2,0
2022,Data Engineer,2.07,1,6596312,US,US,2,0
2022,Data Engineer,4.55,1,8020606,US,US,3,100
2022,Data Engineer,2.07,1,3935587,ES,ES,2,100
2022,Data Scientist,4.55,1,11171558,US,US,3,0
2022,Data Analyst,2.07,1,3124137,GB,GB,2,100
2022,Data Analyst,2.07,1,3498353,ES,ES,2,100
2022,Data Analyst,2.07,1,2623725,ES,ES,2,100
2022,Data Engineer,2.07,1,6996705,ES,ES,2,100
2022,Data Engineer,2.07,1,6122077,ES,ES,2,100
2022,Data Engineer,2.07,1,8331086,GB,GB,2,100
2022,Data Engineer,2.07,1,7289680,GB,GB,2,100
2022,Data Engineer,2.07,1,5247529,ES,ES,2,100
2022,Data Engineer,2.07,1,6996705,GR,GR,2,100
2022,Machine Learning Engineer,4.55,1,15090356,US,US,2,0
2022,Machine Learning Engineer,4.55,1,13128649,US,US,2,0
2022,Data Analyst,2.07,1,3498353,GR,GR,2,100
2022,Data Analyst,2.07,1,2623725,GR,GR,2,100
2022,Data Engineer,2.07,1,7810383,GB,GB,2,100
2022,Data Engineer,2.07,1,6248275,GB,GB,2,100
2022,Data Scientist,4.55,1,17131313,US,US,3,0
2022,Data Engineer,2.07,1,6122077,GR,GR,2,100
2022,Data Engineer,4.55,1,16637982,US,US,3,100
2022,Data Engineer,4.55,1,12301445,US,US,3,100
2022,Data Engineer,4.55,1,14322510,US,US,2,100
2022,ML Engineer,0.58,1,1749176,PT,PT,3,100
2022,Data Engineer,4.55,1,6365560,US,US,2,100
2022,Machine Learning Developer,2.07,1,6269360,CA,CA,2,100
2022,Director of Data Science,8.11,1,15673521,CA,CA,3,50
2022,Machine Learning Engineer,2.07,1,9548340,US,US,1,100
2022,Computer Vision Engineer,0.58,1,9946188,US,US,2,0
2022,NLP Engineer,2.07,1,2962850,US,US,3,50
2022,Data Engineer,4.55,1,8354798,US,US,2,100
2022,Lead Machine Learning Engineer,4.55,1,6996705,DE,DE,2,0
2022,Business Data Analyst,2.07,1,1467421,IN,IN,2,100
2022,Data Scientist,2.07,1,2515590,IN,IN,3,100
2022,Machine Learning Infrastructure Engineer,2.07,1,4635321,PT,PT,3,50
2022,Financial Data Analyst,0.58,1,7956950,US,US,3,50
